FIPS,County name,State,Year,Population
46003,Aurora County,South Dakota,1990,3135
46005,Beadle County,South Dakota,1990,18253
46007,Bennett County,South Dakota,1990,3206
46009,Bon Homme County,South Dakota,1990,7089
46011,Brookings County,South Dakota,1990,25207
46013,Brown County,South Dakota,1990,35580
46015,Brule County,South Dakota,1990,5485
46017,Buffalo County,South Dakota,1990,1759
46019,Butte County,South Dakota,1990,7914
46021,Campbell County,South Dakota,1990,1965
46023,Charles Mix County,South Dakota,1990,9131
46025,Clark County,South Dakota,1990,4403
46027,Clay County,South Dakota,1990,13186
46029,Codington County,South Dakota,1990,22698
46031,Corson County,South Dakota,1990,4195
46033,Custer County,South Dakota,1990,6179
46035,Davison County,South Dakota,1990,17503
46037,Day County,South Dakota,1990,6978
46039,Deuel County,South Dakota,1990,4522
46041,Dewey County,South Dakota,1990,5523
46043,Douglas County,South Dakota,1990,3746
46045,Edmunds County,South Dakota,1990,4356
46047,Fall River County,South Dakota,1990,7353
46049,Faulk County,South Dakota,1990,2744
46051,Grant County,South Dakota,1990,8372
46053,Gregory County,South Dakota,1990,5359
46055,Haakon County,South Dakota,1990,2624
46057,Hamlin County,South Dakota,1990,4974
46059,Hand County,South Dakota,1990,4272
46061,Hanson County,South Dakota,1990,2994
46063,Harding County,South Dakota,1990,1669
46065,Hughes County,South Dakota,1990,14817
46067,Hutchinson County,South Dakota,1990,8262
46069,Hyde County,South Dakota,1990,1696
46071,Jackson County,South Dakota,1990,2811
46073,Jerauld County,South Dakota,1990,2425
46075,Jones County,South Dakota,1990,1324
46077,Kingsbury County,South Dakota,1990,5925
46079,Lake County,South Dakota,1990,10550
46081,Lawrence County,South Dakota,1990,20655
46083,Lincoln County,South Dakota,1990,15427
46085,Lyman County,South Dakota,1990,3638
46087,McCook County,South Dakota,1990,5688
46089,McPherson County,South Dakota,1990,3228
46091,Marshall County,South Dakota,1990,4844
46093,Meade County,South Dakota,1990,21878
46095,Mellette County,South Dakota,1990,2137
46097,Miner County,South Dakota,1990,3272
46099,Minnehaha County,South Dakota,1990,123809
46101,Moody County,South Dakota,1990,6507
46102,Oglala Lakota County,South Dakota,1990,9902
46103,Pennington County,South Dakota,1990,81343
46105,Perkins County,South Dakota,1990,3932
46107,Potter County,South Dakota,1990,3190
46109,Roberts County,South Dakota,1990,9914
46111,Sanborn County,South Dakota,1990,2833
46115,Spink County,South Dakota,1990,7981
46117,Stanley County,South Dakota,1990,2453
46119,Sully County,South Dakota,1990,1589
46121,Todd County,South Dakota,1990,8352
46123,Tripp County,South Dakota,1990,6924
46125,Turner County,South Dakota,1990,8576
46127,Union County,South Dakota,1990,10189
46129,Walworth County,South Dakota,1990,6087
46135,Yankton County,South Dakota,1990,19252
46137,Ziebach County,South Dakota,1990,2220
72001,Adjuntas Municipio,Puerto Rico,1990,19451
72003,Aguada Municipio,Puerto Rico,1990,35911
72005,Aguadilla Municipio,Puerto Rico,1990,59335
72007,Aguas Buenas Municipio,Puerto Rico,1990,25424
72009,Aibonito Municipio,Puerto Rico,1990,24971
72011,AÒasco Municipio,Puerto Rico,1990,25234
72013,Arecibo Municipio,Puerto Rico,1990,93385
72015,Arroyo Municipio,Puerto Rico,1990,18910
72017,Barceloneta Municipio,Puerto Rico,1990,20947
72019,Barranquitas Municipio,Puerto Rico,1990,25605
72021,BayamÛn Municipio,Puerto Rico,1990,220262
72023,Cabo Rojo Municipio,Puerto Rico,1990,38521
72025,Caguas Municipio,Puerto Rico,1990,133447
72027,Camuy Municipio,Puerto Rico,1990,28917
72029,CanÛvanas Municipio,Puerto Rico,1990,36816
72031,Carolina Municipio,Puerto Rico,1990,177806
72033,CataÒo Municipio,Puerto Rico,1990,34587
72035,Cayey Municipio,Puerto Rico,1990,46553
72037,Ceiba Municipio,Puerto Rico,1990,17145
72039,Ciales Municipio,Puerto Rico,1990,18084
72041,Cidra Municipio,Puerto Rico,1990,35601
72043,Coamo Municipio,Puerto Rico,1990,33837
72045,ComerÌo Municipio,Puerto Rico,1990,20265
72047,Corozal Municipio,Puerto Rico,1990,33095
72049,Culebra Municipio,Puerto Rico,1990,1542
72051,Dorado Municipio,Puerto Rico,1990,30759
72053,Fajardo Municipio,Puerto Rico,1990,36882
72054,Florida Municipio,Puerto Rico,1990,8689
72055,Gu·nica Municipio,Puerto Rico,1990,19984
72057,Guayama Municipio,Puerto Rico,1990,41588
72059,Guayanilla Municipio,Puerto Rico,1990,21581
72061,Guaynabo Municipio,Puerto Rico,1990,92886
72063,Gurabo Municipio,Puerto Rico,1990,28737
72065,Hatillo Municipio,Puerto Rico,1990,32703
72067,Hormigueros Municipio,Puerto Rico,1990,15212
72069,Humacao Municipio,Puerto Rico,1990,55203
72071,Isabela Municipio,Puerto Rico,1990,39147
72073,Jayuya Municipio,Puerto Rico,1990,15527
72075,Juana DÌaz Municipio,Puerto Rico,1990,45198
72077,Juncos Municipio,Puerto Rico,1990,30612
72079,Lajas Municipio,Puerto Rico,1990,23271
72081,Lares Municipio,Puerto Rico,1990,29015
72083,Las MarÌas Municipio,Puerto Rico,1990,9306
72085,Las Piedras Municipio,Puerto Rico,1990,27896
72087,LoÌza Municipio,Puerto Rico,1990,29307
72089,Luquillo Municipio,Puerto Rico,1990,18100
72091,ManatÌ Municipio,Puerto Rico,1990,38692
72093,Maricao Municipio,Puerto Rico,1990,6206
72095,Maunabo Municipio,Puerto Rico,1990,12347
72097,Mayag¸ez Municipio,Puerto Rico,1990,100371
72099,Moca Municipio,Puerto Rico,1990,32926
72101,Morovis Municipio,Puerto Rico,1990,25288
72103,Naguabo Municipio,Puerto Rico,1990,22620
72105,Naranjito Municipio,Puerto Rico,1990,27914
72107,Orocovis Municipio,Puerto Rico,1990,21158
72109,Patillas Municipio,Puerto Rico,1990,19633
72111,PeÒuelas Municipio,Puerto Rico,1990,22515
72113,Ponce Municipio,Puerto Rico,1990,187749
72115,Quebradillas Municipio,Puerto Rico,1990,21425
72117,RincÛn Municipio,Puerto Rico,1990,12213
72119,RÌo Grande Municipio,Puerto Rico,1990,45648
72121,Sabana Grande Municipi,Puerto Rico,1990,22843
72123,Salinas Municipio,Puerto Rico,1990,28335
72125,San Germ·n Municipio,Puerto Rico,1990,34962
72127,San Juan Municipio,Puerto Rico,1990,437745
72129,San Lorenzo Municipio,Puerto Rico,1990,35163
72131,San Sebasti·n Municipi,Puerto Rico,1990,38799
72133,Santa Isabel Municipio,Puerto Rico,1990,19318
72135,Toa Alta Municipio,Puerto Rico,1990,44101
72137,Toa Baja Municipio,Puerto Rico,1990,89454
72139,Trujillo Alto Municipi,Puerto Rico,1990,61120
72141,Utuado Municipio,Puerto Rico,1990,34980
72143,Vega Alta Municipio,Puerto Rico,1990,34559
72145,Vega Baja Municipio,Puerto Rico,1990,55997
72147,Vieques Municipio,Puerto Rico,1990,8602
72149,Villalba Municipio,Puerto Rico,1990,23559
72151,Yabucoa Municipio,Puerto Rico,1990,36483
72153,Yauco Municipio,Puerto Rico,1990,42058
56001,Albany County,Wyoming,1990,30797
56003,Big Horn County,Wyoming,1990,10525
56005,Campbell County,Wyoming,1990,29370
56007,Carbon County,Wyoming,1990,16659
56009,Converse County,Wyoming,1990,11128
56011,Crook County,Wyoming,1990,5294
56013,Fremont County,Wyoming,1990,33662
56015,Goshen County,Wyoming,1990,12373
56017,Hot Springs County,Wyoming,1990,4809
56019,Johnson County,Wyoming,1990,6145
56021,Laramie County,Wyoming,1990,73142
56023,Lincoln County,Wyoming,1990,12625
56025,Natrona County,Wyoming,1990,61226
56027,Niobrara County,Wyoming,1990,2499
56029,Park County,Wyoming,1990,23178
56031,Platte County,Wyoming,1990,8145
56033,Sheridan County,Wyoming,1990,23562
56035,Sublette County,Wyoming,1990,4843
56037,Sweetwater County,Wyoming,1990,38823
56039,Teton County,Wyoming,1990,11173
56041,Uinta County,Wyoming,1990,18705
56043,Washakie County,Wyoming,1990,8388
56045,Weston County,Wyoming,1990,6518
55001,Adams County,Wisconsin,1990,15682
55003,Ashland County,Wisconsin,1990,16307
55005,Barron County,Wisconsin,1990,40750
55007,Bayfield County,Wisconsin,1990,14008
55009,Brown County,Wisconsin,1990,194594
55011,Buffalo County,Wisconsin,1990,13584
55013,Burnett County,Wisconsin,1990,13084
55015,Calumet County,Wisconsin,1990,34291
55017,Chippewa County,Wisconsin,1990,52360
55019,Clark County,Wisconsin,1990,31647
55021,Columbia County,Wisconsin,1990,45088
55023,Crawford County,Wisconsin,1990,15940
55025,Dane County,Wisconsin,1990,367085
55027,Dodge County,Wisconsin,1990,76559
55029,Door County,Wisconsin,1990,25690
55031,Douglas County,Wisconsin,1990,41758
55033,Dunn County,Wisconsin,1990,35909
55035,Eau Claire County,Wisconsin,1990,85183
55037,Florence County,Wisconsin,1990,4590
55039,Fond du Lac County,Wisconsin,1990,90083
55041,Forest County,Wisconsin,1990,8776
55043,Grant County,Wisconsin,1990,49266
55045,Green County,Wisconsin,1990,30339
55047,Green Lake County,Wisconsin,1990,18651
55049,Iowa County,Wisconsin,1990,20150
55051,Iron County,Wisconsin,1990,6153
55053,Jackson County,Wisconsin,1990,16588
55055,Jefferson County,Wisconsin,1990,67783
55057,Juneau County,Wisconsin,1990,21650
55059,Kenosha County,Wisconsin,1990,128181
55061,Kewaunee County,Wisconsin,1990,18878
55063,La Crosse County,Wisconsin,1990,97904
55065,Lafayette County,Wisconsin,1990,16074
55067,Langlade County,Wisconsin,1990,19505
55069,Lincoln County,Wisconsin,1990,26993
55071,Manitowoc County,Wisconsin,1990,80421
55073,Marathon County,Wisconsin,1990,115400
55075,Marinette County,Wisconsin,1990,40548
55077,Marquette County,Wisconsin,1990,12321
55078,Menominee County,Wisconsin,1990,4075
55079,Milwaukee County,Wisconsin,1990,959212
55081,Monroe County,Wisconsin,1990,36633
55083,Oconto County,Wisconsin,1990,30226
55085,Oneida County,Wisconsin,1990,31679
55087,Outagamie County,Wisconsin,1990,140510
55089,Ozaukee County,Wisconsin,1990,72894
55091,Pepin County,Wisconsin,1990,7107
55093,Pierce County,Wisconsin,1990,32765
55095,Polk County,Wisconsin,1990,34773
55097,Portage County,Wisconsin,1990,61405
55099,Price County,Wisconsin,1990,15600
55101,Racine County,Wisconsin,1990,175034
55103,Richland County,Wisconsin,1990,17521
55105,Rock County,Wisconsin,1990,139510
55107,Rusk County,Wisconsin,1990,15079
55109,St. Croix County,Wisconsin,1990,50251
55111,Sauk County,Wisconsin,1990,46975
55113,Sawyer County,Wisconsin,1990,14181
55115,Shawano County,Wisconsin,1990,37157
55117,Sheboygan County,Wisconsin,1990,103877
55119,Taylor County,Wisconsin,1990,18901
55121,Trempealeau County,Wisconsin,1990,25263
55123,Vernon County,Wisconsin,1990,25617
55125,Vilas County,Wisconsin,1990,17707
55127,Walworth County,Wisconsin,1990,75000
55129,Washburn County,Wisconsin,1990,13772
55131,Washington County,Wisconsin,1990,95328
55133,Waukesha County,Wisconsin,1990,304715
55135,Waupaca County,Wisconsin,1990,46104
55137,Waushara County,Wisconsin,1990,19385
55139,Winnebago County,Wisconsin,1990,140320
55141,Wood County,Wisconsin,1990,73605
54001,Barbour County,West Virginia,1990,15699
54003,Berkeley County,West Virginia,1990,59253
54005,Boone County,West Virginia,1990,25870
54007,Braxton County,West Virginia,1990,12998
54009,Brooke County,West Virginia,1990,26992
54011,Cabell County,West Virginia,1990,96827
54013,Calhoun County,West Virginia,1990,7885
54015,Clay County,West Virginia,1990,9983
54017,Doddridge County,West Virginia,1990,6994
54019,Fayette County,West Virginia,1990,47952
54021,Gilmer County,West Virginia,1990,7669
54023,Grant County,West Virginia,1990,10428
54025,Greenbrier County,West Virginia,1990,34693
54027,Hampshire County,West Virginia,1990,16498
54029,Hancock County,West Virginia,1990,35233
54031,Hardy County,West Virginia,1990,10977
54033,Harrison County,West Virginia,1990,69371
54035,Jackson County,West Virginia,1990,25938
54037,Jefferson County,West Virginia,1990,35926
54039,Kanawha County,West Virginia,1990,207619
54041,Lewis County,West Virginia,1990,17223
54043,Lincoln County,West Virginia,1990,21382
54045,Logan County,West Virginia,1990,43032
54047,McDowell County,West Virginia,1990,35233
54049,Marion County,West Virginia,1990,57249
54051,Marshall County,West Virginia,1990,37356
54053,Mason County,West Virginia,1990,25178
54055,Mercer County,West Virginia,1990,64980
54057,Mineral County,West Virginia,1990,26697
54059,Mingo County,West Virginia,1990,33739
54061,Monongalia County,West Virginia,1990,75509
54063,Monroe County,West Virginia,1990,12406
54065,Morgan County,West Virginia,1990,12128
54067,Nicholas County,West Virginia,1990,26775
54069,Ohio County,West Virginia,1990,50871
54071,Pendleton County,West Virginia,1990,8054
54073,Pleasants County,West Virginia,1990,7546
54075,Pocahontas County,West Virginia,1990,9008
54077,Preston County,West Virginia,1990,29037
54079,Putnam County,West Virginia,1990,42835
54081,Raleigh County,West Virginia,1990,76819
54083,Randolph County,West Virginia,1990,27803
54085,Ritchie County,West Virginia,1990,10233
54087,Roane County,West Virginia,1990,15120
54089,Summers County,West Virginia,1990,14204
54091,Taylor County,West Virginia,1990,15144
54093,Tucker County,West Virginia,1990,7728
54095,Tyler County,West Virginia,1990,9796
54097,Upshur County,West Virginia,1990,22867
54099,Wayne County,West Virginia,1990,41636
54101,Webster County,West Virginia,1990,10729
54103,Wetzel County,West Virginia,1990,19258
54105,Wirt County,West Virginia,1990,5192
54107,Wood County,West Virginia,1990,86915
54109,Wyoming County,West Virginia,1990,28990
53001,Adams County,Washington,1990,13603
53003,Asotin County,Washington,1990,17605
53005,Benton County,Washington,1990,112560
53007,Chelan County,Washington,1990,52250
53009,Clallam County,Washington,1990,56210
53011,Clark County,Washington,1990,238053
53013,Columbia County,Washington,1990,4024
53015,Cowlitz County,Washington,1990,82119
53017,Douglas County,Washington,1990,26205
53019,Ferry County,Washington,1990,6295
53021,Franklin County,Washington,1990,37473
53023,Garfield County,Washington,1990,2248
53025,Grant County,Washington,1990,54798
53027,Grays Harbor County,Washington,1990,64175
53029,Island County,Washington,1990,60195
53031,Jefferson County,Washington,1990,20406
53033,King County,Washington,1990,1507305
53035,Kitsap County,Washington,1990,189731
53037,Kittitas County,Washington,1990,26725
53039,Klickitat County,Washington,1990,16616
53041,Lewis County,Washington,1990,59358
53043,Lincoln County,Washington,1990,8864
53045,Mason County,Washington,1990,38341
53047,Okanogan County,Washington,1990,33350
53049,Pacific County,Washington,1990,18882
53051,Pend Oreille County,Washington,1990,8915
53053,Pierce County,Washington,1990,586203
53055,San Juan County,Washington,1990,10035
53057,Skagit County,Washington,1990,79545
53059,Skamania County,Washington,1990,8289
53061,Snohomish County,Washington,1990,465628
53063,Spokane County,Washington,1990,361333
53065,Stevens County,Washington,1990,30948
53067,Thurston County,Washington,1990,161238
53069,Wahkiakum County,Washington,1990,3327
53071,Walla Walla County,Washington,1990,48439
53073,Whatcom County,Washington,1990,127780
53075,Whitman County,Washington,1990,38775
53077,Yakima County,Washington,1990,188823
51001,Accomack County,Virginia,1990,31703
51003,Albemarle County,Virginia,1990,68177
51005,Alleghany County,Virginia,1990,12815
51007,Amelia County,Virginia,1990,8787
51009,Amherst County,Virginia,1990,28578
51011,Appomattox County,Virginia,1990,12300
51013,Arlington County,Virginia,1990,170895
51015,Augusta County,Virginia,1990,54557
51017,Bath County,Virginia,1990,4799
51019,Bedford County,Virginia,1990,45553
51021,Bland County,Virginia,1990,6514
51023,Botetourt County,Virginia,1990,24992
51025,Brunswick County,Virginia,1990,15987
51027,Buchanan County,Virginia,1990,31333
51029,Buckingham County,Virginia,1990,12873
51031,Campbell County,Virginia,1990,47499
51033,Caroline County,Virginia,1990,19217
51035,Carroll County,Virginia,1990,26519
51036,Charles City County,Virginia,1990,6282
51037,Charlotte County,Virginia,1990,11688
51041,Chesterfield County,Virginia,1990,209599
51043,Clarke County,Virginia,1990,12101
51045,Craig County,Virginia,1990,4372
51047,Culpeper County,Virginia,1990,27791
51049,Cumberland County,Virginia,1990,7825
51051,Dickenson County,Virginia,1990,17620
51053,Dinwiddie County,Virginia,1990,22279
51057,Essex County,Virginia,1990,8689
51059,Fairfax County,Virginia,1990,818310
51061,Fauquier County,Virginia,1990,48700
51063,Floyd County,Virginia,1990,11965
51065,Fluvanna County,Virginia,1990,12429
51067,Franklin County,Virginia,1990,39549
51069,Frederick County,Virginia,1990,45723
51071,Giles County,Virginia,1990,16366
51073,Gloucester County,Virginia,1990,30131
51075,Goochland County,Virginia,1990,14163
51077,Grayson County,Virginia,1990,16278
51079,Greene County,Virginia,1990,10297
51081,Greensville County,Virginia,1990,8553
51083,Halifax County,Virginia,1990,36030
51085,Hanover County,Virginia,1990,63306
51087,Henrico County,Virginia,1990,217878
51089,Henry County,Virginia,1990,56942
51091,Highland County,Virginia,1990,2635
51093,Isle of Wight County,Virginia,1990,25053
51095,James City County,Virginia,1990,34779
51097,King and Queen County,Virginia,1990,6289
51099,King George County,Virginia,1990,13527
51101,King William County,Virginia,1990,10913
51103,Lancaster County,Virginia,1990,10896
51105,Lee County,Virginia,1990,24496
51107,Loudoun County,Virginia,1990,86185
51109,Louisa County,Virginia,1990,20325
51111,Lunenburg County,Virginia,1990,11419
51113,Madison County,Virginia,1990,11949
51115,Mathews County,Virginia,1990,8348
51117,Mecklenburg County,Virginia,1990,29241
51119,Middlesex County,Virginia,1990,8653
51121,Montgomery County,Virginia,1990,73913
51125,Nelson County,Virginia,1990,12778
51127,New Kent County,Virginia,1990,10466
51131,Northampton County,Virginia,1990,13061
51133,Northumberland County,Virginia,1990,10524
51135,Nottoway County,Virginia,1990,14993
51137,Orange County,Virginia,1990,21421
51139,Page County,Virginia,1990,21690
51141,Patrick County,Virginia,1990,17473
51143,Pittsylvania County,Virginia,1990,55672
51145,Powhatan County,Virginia,1990,15328
51147,Prince Edward County,Virginia,1990,17320
51149,Prince George County,Virginia,1990,27390
51153,Prince William County,Virginia,1990,214954
51155,Pulaski County,Virginia,1990,34496
51157,Rappahannock County,Virginia,1990,6622
51159,Richmond County,Virginia,1990,7273
51161,Roanoke County,Virginia,1990,79278
51163,Rockbridge County,Virginia,1990,18350
51165,Rockingham County,Virginia,1990,57482
51167,Russell County,Virginia,1990,28667
51169,Scott County,Virginia,1990,23204
51171,Shenandoah County,Virginia,1990,31636
51173,Smyth County,Virginia,1990,32370
51175,Southampton County,Virginia,1990,17022
51177,Spotsylvania County,Virginia,1990,57397
51179,Stafford County,Virginia,1990,62255
51181,Surry County,Virginia,1990,6145
51183,Sussex County,Virginia,1990,10248
51185,Tazewell County,Virginia,1990,45960
51187,Warren County,Virginia,1990,26142
51191,Washington County,Virginia,1990,45887
51193,Westmoreland County,Virginia,1990,15480
51195,Wise County,Virginia,1990,39573
51197,Wythe County,Virginia,1990,25471
51199,York County,Virginia,1990,42434
51510,Alexandria city,Virginia,1990,111183
51520,Bristol city,Virginia,1990,18426
51530,Buena Vista city,Virginia,1990,6406
51540,Charlottesville city,Virginia,1990,40470
51550,Chesapeake city,Virginia,1990,151982
51570,Colonial Heights city,Virginia,1990,16064
51580,Covington city,Virginia,1990,7352
51590,Danville city,Virginia,1990,53056
51595,Emporia city,Virginia,1990,5556
51600,Fairfax city,Virginia,1990,19945
51610,Falls Church city,Virginia,1990,9464
51620,Franklin city,Virginia,1990,8392
51630,Fredericksburg city,Virginia,1990,19033
51640,Galax city,Virginia,1990,6745
51650,Hampton city,Virginia,1990,133773
51660,Harrisonburg city,Virginia,1990,30707
51670,Hopewell city,Virginia,1990,23101
51678,Lexington city,Virginia,1990,6959
51680,Lynchburg city,Virginia,1990,66120
51683,Manassas city,Virginia,1990,27757
51685,Manassas Park city,Virginia,1990,6798
51690,Martinsville city,Virginia,1990,16162
51700,Newport News city,Virginia,1990,171477
51710,Norfolk city,Virginia,1990,261250
51720,Norton city,Virginia,1990,4247
51730,Petersburg city,Virginia,1990,37071
51735,Poquoson city,Virginia,1990,11005
51740,Portsmouth city,Virginia,1990,103910
51750,Radford city,Virginia,1990,15940
51760,Richmond city,Virginia,1990,202713
51770,Roanoke city,Virginia,1990,96487
51775,Salem city,Virginia,1990,23835
51790,Staunton city,Virginia,1990,24581
51800,Suffolk city,Virginia,1990,52143
51810,Virginia Beach city,Virginia,1990,393089
51820,Waynesboro city,Virginia,1990,18549
51830,Williamsburg city,Virginia,1990,11600
51840,Winchester city,Virginia,1990,21947
50001,Addison County,Vermont,1990,32953
50003,Bennington County,Vermont,1990,35845
50005,Caledonia County,Vermont,1990,27846
50007,Chittenden County,Vermont,1990,131761
50009,Essex County,Vermont,1990,6405
50011,Franklin County,Vermont,1990,39980
50013,Grand Isle County,Vermont,1990,5318
50015,Lamoille County,Vermont,1990,19735
50017,Orange County,Vermont,1990,26149
50019,Orleans County,Vermont,1990,24053
50021,Rutland County,Vermont,1990,62142
50023,Washington County,Vermont,1990,54928
50025,Windham County,Vermont,1990,41588
50027,Windsor County,Vermont,1990,54055
49001,Beaver County,Utah,1990,4765
49003,Box Elder County,Utah,1990,36485
49005,Cache County,Utah,1990,70183
49007,Carbon County,Utah,1990,20228
49009,Daggett County,Utah,1990,690
49011,Davis County,Utah,1990,187941
49013,Duchesne County,Utah,1990,12645
49015,Emery County,Utah,1990,10332
49017,Garfield County,Utah,1990,3980
49019,Grand County,Utah,1990,6620
49021,Iron County,Utah,1990,20789
49023,Juab County,Utah,1990,5817
49025,Kane County,Utah,1990,5169
49027,Millard County,Utah,1990,11333
49029,Morgan County,Utah,1990,5528
49031,Piute County,Utah,1990,1277
49033,Rich County,Utah,1990,1725
49035,Salt Lake County,Utah,1990,725956
49037,San Juan County,Utah,1990,12621
49039,Sanpete County,Utah,1990,16259
49041,Sevier County,Utah,1990,15431
49043,Summit County,Utah,1990,15518
49045,Tooele County,Utah,1990,26601
49047,Uintah County,Utah,1990,22211
49049,Utah County,Utah,1990,263590
49051,Wasatch County,Utah,1990,10089
49053,Washington County,Utah,1990,48560
49055,Wayne County,Utah,1990,2177
49057,Weber County,Utah,1990,158330
48001,Anderson County,Texas,1990,48024
48003,Andrews County,Texas,1990,14338
48005,Angelina County,Texas,1990,69884
48007,Aransas County,Texas,1990,17892
48009,Archer County,Texas,1990,7973
48011,Armstrong County,Texas,1990,2021
48013,Atascosa County,Texas,1990,30533
48015,Austin County,Texas,1990,19832
48017,Bailey County,Texas,1990,7064
48019,Bandera County,Texas,1990,10562
48021,Bastrop County,Texas,1990,38263
48023,Baylor County,Texas,1990,4385
48025,Bee County,Texas,1990,25135
48027,Bell County,Texas,1990,191073
48029,Bexar County,Texas,1990,1185394
48031,Blanco County,Texas,1990,5972
48033,Borden County,Texas,1990,799
48035,Bosque County,Texas,1990,15125
48037,Bowie County,Texas,1990,81665
48039,Brazoria County,Texas,1990,191707
48041,Brazos County,Texas,1990,121862
48043,Brewster County,Texas,1990,8653
48045,Briscoe County,Texas,1990,1971
48047,Brooks County,Texas,1990,8204
48049,Brown County,Texas,1990,34371
48051,Burleson County,Texas,1990,13625
48053,Burnet County,Texas,1990,22677
48055,Caldwell County,Texas,1990,26392
48057,Calhoun County,Texas,1990,19053
48059,Callahan County,Texas,1990,11859
48061,Cameron County,Texas,1990,260120
48063,Camp County,Texas,1990,9904
48065,Carson County,Texas,1990,6576
48067,Cass County,Texas,1990,29982
48069,Castro County,Texas,1990,9070
48071,Chambers County,Texas,1990,20088
48073,Cherokee County,Texas,1990,41049
48075,Childress County,Texas,1990,5953
48077,Clay County,Texas,1990,10024
48079,Cochran County,Texas,1990,4377
48081,Coke County,Texas,1990,3424
48083,Coleman County,Texas,1990,9710
48085,Collin County,Texas,1990,264036
48087,Collingsworth County,Texas,1990,3573
48089,Colorado County,Texas,1990,18383
48091,Comal County,Texas,1990,51832
48093,Comanche County,Texas,1990,13381
48095,Concho County,Texas,1990,3044
48097,Cooke County,Texas,1990,30777
48099,Coryell County,Texas,1990,64226
48101,Cottle County,Texas,1990,2247
48103,Crane County,Texas,1990,4652
48105,Crockett County,Texas,1990,4078
48107,Crosby County,Texas,1990,7304
48109,Culberson County,Texas,1990,3407
48111,Dallam County,Texas,1990,5461
48113,Dallas County,Texas,1990,1852691
48115,Dawson County,Texas,1990,14349
48117,Deaf Smith County,Texas,1990,19153
48119,Delta County,Texas,1990,4857
48121,Denton County,Texas,1990,273644
48123,DeWitt County,Texas,1990,18840
48125,Dickens County,Texas,1990,2571
48127,Dimmit County,Texas,1990,10433
48129,Donley County,Texas,1990,3696
48131,Duval County,Texas,1990,12918
48133,Eastland County,Texas,1990,18488
48135,Ector County,Texas,1990,118934
48137,Edwards County,Texas,1990,2266
48139,Ellis County,Texas,1990,85167
48141,El Paso County,Texas,1990,591610
48143,Erath County,Texas,1990,27991
48145,Falls County,Texas,1990,17712
48147,Fannin County,Texas,1990,24804
48149,Fayette County,Texas,1990,20095
48151,Fisher County,Texas,1990,4842
48153,Floyd County,Texas,1990,8497
48155,Foard County,Texas,1990,1794
48157,Fort Bend County,Texas,1990,225421
48159,Franklin County,Texas,1990,7802
48161,Freestone County,Texas,1990,15818
48163,Frio County,Texas,1990,13472
48165,Gaines County,Texas,1990,14123
48167,Galveston County,Texas,1990,217396
48169,Garza County,Texas,1990,5143
48171,Gillespie County,Texas,1990,17204
48173,Glasscock County,Texas,1990,1447
48175,Goliad County,Texas,1990,5980
48177,Gonzales County,Texas,1990,17205
48179,Gray County,Texas,1990,23967
48181,Grayson County,Texas,1990,95019
48183,Gregg County,Texas,1990,104948
48185,Grimes County,Texas,1990,18843
48187,Guadalupe County,Texas,1990,64873
48189,Hale County,Texas,1990,34671
48191,Hall County,Texas,1990,3905
48193,Hamilton County,Texas,1990,7733
48195,Hansford County,Texas,1990,5848
48197,Hardeman County,Texas,1990,5283
48199,Hardin County,Texas,1990,41320
48201,Harris County,Texas,1990,2818101
48203,Harrison County,Texas,1990,57483
48205,Hartley County,Texas,1990,3634
48207,Haskell County,Texas,1990,6820
48209,Hays County,Texas,1990,65614
48211,Hemphill County,Texas,1990,3720
48213,Henderson County,Texas,1990,58543
48215,Hidalgo County,Texas,1990,383545
48217,Hill County,Texas,1990,27146
48219,Hockley County,Texas,1990,24199
48221,Hood County,Texas,1990,28981
48223,Hopkins County,Texas,1990,28833
48225,Houston County,Texas,1990,21375
48227,Howard County,Texas,1990,32343
48229,Hudspeth County,Texas,1990,2915
48231,Hunt County,Texas,1990,64343
48233,Hutchinson County,Texas,1990,25689
48235,Irion County,Texas,1990,1629
48237,Jack County,Texas,1990,6981
48239,Jackson County,Texas,1990,13039
48241,Jasper County,Texas,1990,31102
48243,Jeff Davis County,Texas,1990,1946
48245,Jefferson County,Texas,1990,239389
48247,Jim Hogg County,Texas,1990,5109
48249,Jim Wells County,Texas,1990,37679
48251,Johnson County,Texas,1990,97165
48253,Jones County,Texas,1990,16490
48255,Karnes County,Texas,1990,12455
48257,Kaufman County,Texas,1990,52220
48259,Kendall County,Texas,1990,14589
48261,Kenedy County,Texas,1990,460
48263,Kent County,Texas,1990,1010
48265,Kerr County,Texas,1990,36304
48267,Kimble County,Texas,1990,4122
48269,King County,Texas,1990,354
48271,Kinney County,Texas,1990,3119
48273,Kleberg County,Texas,1990,30274
48275,Knox County,Texas,1990,4837
48277,Lamar County,Texas,1990,43949
48279,Lamb County,Texas,1990,15072
48281,Lampasas County,Texas,1990,13521
48283,La Salle County,Texas,1990,5254
48285,Lavaca County,Texas,1990,18690
48287,Lee County,Texas,1990,12854
48289,Leon County,Texas,1990,12665
48291,Liberty County,Texas,1990,52726
48293,Limestone County,Texas,1990,20946
48295,Lipscomb County,Texas,1990,3143
48297,Live Oak County,Texas,1990,9556
48299,Llano County,Texas,1990,11631
48301,Loving County,Texas,1990,107
48303,Lubbock County,Texas,1990,222636
48305,Lynn County,Texas,1990,6758
48307,McCulloch County,Texas,1990,8778
